GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RLZE001,RLZE002,RLZE003,RLZE004,RLZE005,RLZE006,RLZE007,RLZE008,RLZE009,RLZE010,RLZE011,RLZE012,RLZE013,RLZE014,RLZE015,RLZE016,RLZE017,RLZE018,RLZE019,RLZE020,RLZE021,NAME_M,RLZM001,RLZM002,RLZM003,RLZM004,RLZM005,RLZM006,RLZM007,RLZM008,RLZM009,RLZM010,RLZM011,RLZM012,RLZM013,RLZM014,RLZM015,RLZM016,RLZM017,RLZM018,RLZM019,RLZM020,RLZM021
"G39420","2005-2009","US",,,,,,,,,,,,,,,,"Pullman, WA Micro Area","39420",,,,,,,,,,,,,,,,"31000US39420","Pullman, WA Micro Area",18652,13318,11317,2001,1684,192,61,25,39,1096,1096,0,0,0,0,8,78,263,3007,82,800,"Pullman, WA Micro Area",750,704,661,299,268,78,48,23,29,325,325,119,119,119,119,16,42,119,403,43,182
"G39460","2005-2009","US",,,,,,,,,,,,,,,,"Punta Gorda, FL Metro Area","39460",,,,,,,,,,,,,,,,"31000US39460","Punta Gorda, FL Metro Area",55805,51382,45966,5416,4453,496,310,79,78,167,130,0,28,9,0,52,90,192,685,550,2687,"Punta Gorda, FL Metro Area",1387,1375,1350,664,605,200,192,60,78,102,98,136,31,13,136,59,67,80,198,174,418
"G39500","2005-2009","US",,,,,,,,,,,,,,,,"Quincy, IL-MO Micro Area","39500",,,,,,,,,,,,,,,,"31000US39500","Quincy, IL-MO Micro Area",37248,33887,30104,3783,3230,441,79,33,0,304,304,0,0,0,0,26,44,13,1298,141,1535,"Quincy, IL-MO Micro Area",744,828,844,386,367,138,37,38,119,113,113,119,119,119,119,30,35,23,237,64,216
"G39540","2005-2009","US",,,,,,,,,,,,,,,,"Racine, WI Metro Area","39540",,,,,,,,,,,,,,,,"31000US39540","Racine, WI Metro Area",94379,87991,80122,7869,6156,999,376,143,195,1424,1287,0,11,126,0,12,241,271,1889,362,2189,"Racine, WI Metro Area",1240,1201,1289,644,543,230,171,87,123,269,265,93,10,80,93,17,100,125,341,135,296
"G39580","2005-2009","US",,,,,,,,,,,,,,,,"Raleigh-Cary, NC Metro Area","39580",,,,,,,,,,,,,,,,"31000US39580","Raleigh-Cary, NC Metro Area",520537,473341,416950,56391,42126,8189,2879,1615,1582,4983,4785,37,60,15,86,497,816,1252,7566,4452,27630,"Raleigh-Cary, NC Metro Area",3431,3232,3465,1903,1753,798,643,347,542,614,590,34,44,17,52,159,185,281,753,662,1269
"G39660","2005-2009","US",,,,,,,,,,,,,,,,"Rapid City, SD Metro Area","39660",,,,,,,,,,,,,,,,"31000US39660","Rapid City, SD Metro Area",61418,55751,48804,6947,4857,1138,478,415,59,388,339,21,28,0,0,40,280,137,1258,618,2946,"Rapid City, SD Metro Area",837,909,924,660,493,286,172,237,42,203,189,35,48,99,99,36,107,77,250,241,389
"G39700","2005-2009","US",,,,,,,,,,,,,,,,"Raymondville, TX Micro Area","39700",,,,,,,,,,,,,,,,"31000US39700","Raymondville, TX Micro Area",5133,4941,4498,443,363,67,11,0,2,0,0,0,0,0,0,0,0,0,60,34,98,"Raymondville, TX Micro Area",485,470,445,132,115,46,13,127,4,127,127,127,127,127,127,127,127,127,45,33,79
"G39740","2005-2009","US",,,,,,,,,,,,,,,,"Reading, PA Metro Area","39740",,,,,,,,,,,,,,,,"31000US39740","Reading, PA Metro Area",190958,171163,153119,18044,14172,2074,898,392,508,3488,3213,147,36,67,25,279,381,295,6790,1528,7034,"Reading, PA Metro Area",1875,2126,2051,908,825,359,229,148,190,503,473,110,33,45,36,102,100,102,587,285,525
"G39780","2005-2009","US",,,,,,,,,,,,,,,,"Red Bluff, CA Micro Area","39780",,,,,,,,,,,,,,,,"31000US39780","Red Bluff, CA Micro Area",22628,20146,17580,2566,1979,377,137,72,1,170,170,0,0,0,0,0,71,175,570,191,1305,"Red Bluff, CA Micro Area",985,947,864,440,375,146,71,65,5,184,184,132,132,132,132,132,46,111,170,85,272
"G39820","2005-2009","US",,,,,,,,,,,,,,,,"Redding, CA Metro Area","39820",,,,,,,,,,,,,,,,"31000US39820","Redding, CA Metro Area",71022,64141,57036,7105,5209,1121,554,69,152,481,372,0,20,89,0,9,406,317,1385,907,3376,"Redding, CA Metro Area",1384,1401,1454,721,539,257,292,60,117,204,177,132,32,117,132,15,161,162,276,269,434
